,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
496,5,2,1,3.0,1.0,3.0,Car,Cycle,Walk,Car,Cycle,Walk,2.0
497,3,5,2,3.0,3.0,4.0,Walk,Bus,Cycle,Walk,Bus,Walk,1.0
498,4,4,2,3.0,3.0,3.0,Walk,None,,Walk,None,,0.0
499,5,4,1,5.0,5.0,4.0,Bus,Tram,Walk,Bus,Walk,None,0.0
500,4,6,2,5.0,5.0,5.0,Bus,Walk,Bus,Walk,Bus,Walk,1.0
501,4,2,1,5.0,5.0,5.0,Walk,Bus,None,Bus,Walk,None,0.0
502,2,5,1,4.0,1.0,1.0,Walk,Car,Bus,Car,Bus,Walk,2.0
504,1,6,2,1.0,1.0,2.0,Car,Bus,Walk,Car,None,,1.0
505,3,6,2,2.0,2.0,2.0,Walk,Taxi/Private hire car,Bus,Bus,Tram,Walk,0.0
506,5,6,2,5.0,5.0,5.0,Walk,Bus,None,Walk,Bus,Car,0.0
507,3,6,2,4.0,4.0,3.0,Car,Walk,Bus,Bus,Car,Walk,1.0
508,3,7,1,3.0,3.0,1.0,Car,Tram,None,Bus,Tram,Car,1.0
509,2,6,2,3.0,1.0,2.0,Car,Taxi/Private hire car,Bus,Bus,Walk,Bus,1.0
510,1,1,2,4.0,4.0,4.0,Bus,Walk,Tram,Walk,Bus,Tram,0.0
511,4,3,1,5.0,5.0,2.0,Walk,Bus,None,Walk,Bus,None,0.0
512,4,5,2,1.0,4.0,1.0,Car,None,,Walk,Car,None,2.0
513,5,7,2,3.0,3.0,3.0,Walk,Bus,Car,Walk,Bus,Car,1.0
514,2,2,2,2.0,2.0,2.0,Tram,Car,Cycle,None,,,1.0
515,4,6,2,5.0,5.0,5.0,Car,Walk,None,Car,Bus,Cycle,2.0
516,2,4,2,2.0,4.0,2.0,Walk,Car,Bus,Tram,Bus,Walk,2.0
517,5,6,2,4.0,4.0,3.0,Walk,Bus,None,Walk,Bus,Car,0.0
518,4,3,1,4.0,1.0,3.0,Car,Walk,Taxi/Private hire car,Car,Walk,Car,1.0
519,3,3,1,5.0,5.0,5.0,Walk,Bus,None,Walk,Bus,None,0.0
520,3,3,1,3.0,3.0,2.0,Car,Walk,None,Car,Walk,Bus,2.0
521,4,7,2,1.0,3.0,2.0,Car,Walk,None,Car,Bus,Walk,2.0
523,5,3,2,5.0,5.0,5.0,Car,Walk,Car,Walk,None,,1.0
